sma_window1,sma_window2,ema_window1,ema_window2,macd_fastperiod,macd_slowperiod,macd_signalperiod,adx_window,sar_acceleration,sar_maximum,obv_window,ad_window,adosc_fastperiod,adosc_slowperiod,mfi_window,custom_volume_window,rsi_window,stoch_fastk,stoch_slowk,stoch_slowk_matype,stoch_slowd,stoch_slowd_matype,cci_window,willr_window,mom_window,cmo_window,dx_window,macdext_fast,macdext_fast_matype,macdext_slow,macdext_slow_matype,macdext_signal,macdext_signal_matype,macdfix_window,minus_di_window,minus_dm_window,plus_di_window,plus_dm_window,ppo_fast,ppo_slow,ppo_matype,roc_window,rocp_window,rocr_window,rocr100_window,stochf_fastk,stochf_fastd,stochf_fastd_matype,stochrsi_time,stochrsi_fastk,stochrsi_fastd,stochrsi_fastd_matype,trix_window,ultosc_p1,ultosc_p2,ultosc_p3,atr_window,natr_window,trange_window,bbands_timeperiod,bbands_nbdevup,bbands_nbdevdn,bbands_matype,stddev_window,value
28,43,29,43,13,31,15,26,0.020834476555312606,0.20422824807147796,20,17,10,18,21,17,10,13,3,2,2,4,11,16,10,17,11,9,3,34,1,11,1,15,30,16,14,11,20,20,2,17,18,6,8,10,5,2,21,2,5,3,19,6,13,27,12,15,26,29,2.32631339221869,1.982406804802989,0,15,416.46
31,81,16,55,18,27,14,23,0.01867875531980749,0.332792312738927,19,20,9,14,26,35,10,11,4,3,5,3,16,19,11,30,18,7,2,46,3,12,3,14,26,14,13,29,15,23,2,19,19,8,7,12,4,3,21,3,4,0,20,7,11,34,16,14,30,24,2.042933195139989,2.377007910525162,2,12,356.85
24,91,25,49,6,50,6,30,0.028058505557585312,0.31342529836953514,15,17,8,11,23,32,12,14,5,2,2,3,14,24,6,19,15,8,2,23,1,5,2,11,24,21,11,24,18,43,3,11,14,5,9,9,5,4,18,3,5,1,14,5,12,30,18,19,21,27,2.9609249383884007,2.082830627809777,2,11,398.13
27,64,21,37,15,40,12,21,0.024919975721838912,0.23535823752344998,18,15,5,17,20,24,8,16,3,1,2,4,13,22,9,21,13,10,2,29,2,13,1,7,27,16,18,20,10,28,1,16,18,9,5,11,4,3,24,2,4,2,22,8,14,32,10,16,24,30,2.0755315439023003,2.494921232285814,3,17,422.23
21,58,31,59,11,21,14,28,0.013841435589095102,0.18793136832712845,13,16,10,13,23,26,9,9,3,3,4,3,10,23,12,24,15,6,1,39,2,11,2,13,11,20,16,17,15,26,3,20,15,7,6,8,2,2,19,2,3,0,17,7,10,29,13,11,10,23,2.457563018028499,2.20930487339998,1,14,376.29
35,48,28,70,6,34,15,25,0.022910035308236952,0.39523741650822725,21,12,8,15,27,19,7,7,4,2,2,4,15,25,8,11,12,9,3,32,0,6,0,15,19,14,12,13,19,29,3,19,17,6,8,9,4,2,17,3,5,2,12,5,13,33,19,13,28,28,2.636120411737373,2.6057926951805386,1,13,401.65
29,68,24,46,8,24,12,26,0.02107410796000186,0.2734525695183194,16,19,10,11,19,27,11,11,2,3,2,1,27,17,7,16,11,6,2,35,3,9,3,8,24,12,15,23,17,21,0,18,19,16,7,13,3,4,22,5,4,4,24,8,14,25,27,15,26,19,1.9342904325407269,2.804245674591953,2,10,405.93
32,48,26,52,11,32,12,24,0.02676512395268652,0.1280074791638487,17,19,9,12,25,25,8,13,3,2,2,3,13,21,7,20,10,6,2,32,3,10,2,14,29,19,16,26,18,27,2,19,16,6,6,10,5,3,19,2,4,0,20,6,13,30,15,12,24,27,2.288140817228192,2.417543404145394,1,10,442.52
34,42,28,51,10,33,13,24,0.030102778095942147,0.1533484710171253,17,20,9,13,19,22,7,13,3,2,2,4,14,20,6,21,10,13,2,31,4,10,2,14,27,18,15,27,19,24,2,19,16,5,5,9,5,3,16,2,4,0,21,5,13,27,14,12,23,26,2.246972474155176,2.3600394453638036,1,11,484.53
38,41,28,54,10,29,13,21,0.029304490494512895,0.14843448926918665,14,20,8,13,11,21,7,14,3,2,2,4,14,20,5,21,11,13,2,30,4,10,2,15,28,17,18,28,20,24,2,20,17,7,5,9,5,3,16,2,3,0,23,5,12,27,14,13,22,29,2.1995386473329566,2.3570842115076345,1,12,470.1
38,42,32,54,10,29,13,21,0.03021589703054499,0.16122079535715841,14,20,8,13,30,21,17,15,3,2,2,4,11,20,5,23,11,13,2,30,4,10,2,15,28,23,18,30,20,24,2,20,17,5,5,10,5,3,16,2,4,0,22,5,13,24,14,10,22,26,2.1827840429229046,2.459963171760412,1,11,465.26
38,42,33,54,10,29,13,18,0.03485544671988783,0.15076065258260463,11,20,8,13,30,22,28,15,3,1,2,4,11,19,5,23,12,13,1,30,4,11,2,15,28,23,18,29,20,21,2,20,15,5,5,10,5,3,14,2,4,0,23,5,15,23,14,10,23,26,2.1808510346874073,2.3240714294451683,1,11,457.1
39,41,32,56,10,31,13,21,0.03325313257481556,0.17210659226821845,14,20,8,10,17,21,17,14,3,2,2,4,12,20,5,21,11,14,2,28,4,9,2,15,29,23,20,30,19,23,2,19,17,5,5,18,5,3,16,2,4,0,21,5,14,24,11,10,23,29,2.3596582886786406,2.459325622510421,1,13,462.03
39,40,35,55,9,27,13,21,0.03355544611097197,0.17352905764100074,14,20,8,10,16,22,16,14,3,2,2,4,11,18,5,21,11,14,2,28,4,9,2,15,30,26,20,30,19,23,2,20,17,5,5,17,5,3,16,2,4,0,22,5,14,21,11,10,22,25,2.342469761834004,2.5275301531810896,1,13,475.4
